"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"Abilene Christian","team.php?team=Abilene+Christian","Abilene+Christian","WAC","conf.php?c=WAC","WAC",2025
"Air Force","team.php?team=Air+Force","Air+Force","MWC","conf.php?c=MWC","MWC",2025
"Akron","team.php?team=Akron","Akron","MAC","conf.php?c=MAC","MAC",2025
"Alabama","team.php?team=Alabama","Alabama","SEC","conf.php?c=SEC","SEC",2025
"Alabama A&M","team.php?team=Alabama+A%26M","Alabama+A%26M","SWAC","conf.php?c=SWAC","SWAC",2025
"Alabama St.","team.php?team=Alabama+St.","Alabama+St.","SWAC","conf.php?c=SWAC","SWAC",2025
"Albany","team.php?team=Albany","Albany","AE","conf.php?c=AE","AE",2025
"Alcorn St.","team.php?team=Alcorn+St.","Alcorn+St.","SWAC","conf.php?c=SWAC","SWAC",2025
"American","team.php?team=American","American","PL","conf.php?c=PL","PL",2025
"Appalachian St.","team.php?team=Appalachian+St.","Appalachian+St.","SB","conf.php?c=SB","SB",2025
"Arizona","team.php?team=Arizona","Arizona","B12","conf.php?c=B12","B12",2025
"Arizona St.","team.php?team=Arizona+St.","Arizona+St.","B12","conf.php?c=B12","B12",2025
"Arkansas","team.php?team=Arkansas","Arkansas","SEC","conf.php?c=SEC","SEC",2025
"Arkansas Pine Bluff","team.php?team=Arkansas+Pine+Bluff","Arkansas+Pine+Bluff","SWAC","conf.php?c=SWAC","SWAC",2025
"Arkansas St.","team.php?team=Arkansas+St.","Arkansas+St.","SB","conf.php?c=SB","SB",2025
"Army","team.php?team=Army","Army","PL","conf.php?c=PL","PL",2025
"Auburn","team.php?team=Auburn","Auburn","SEC","conf.php?c=SEC","SEC",2025
"Austin Peay","team.php?team=Austin+Peay","Austin+Peay","ASun","conf.php?c=ASun","ASun",2025
"BYU","team.php?team=BYU","BYU","B12","conf.php?c=B12","B12",2025
"Ball St.","team.php?team=Ball+St.","Ball+St.","MAC","conf.php?c=MAC","MAC",2025
"Baylor","team.php?team=Baylor","Baylor","B12","conf.php?c=B12","B12",2025
"Bellarmine","team.php?team=Bellarmine","Bellarmine","ASun","conf.php?c=ASun","ASun",2025
"Belmont","team.php?team=Belmont","Belmont","MVC","conf.php?c=MVC","MVC",2025
"Bethune Cookman","team.php?team=Bethune+Cookman","Bethune+Cookman","SWAC","conf.php?c=SWAC","SWAC",2025
"Binghamton","team.php?team=Binghamton","Binghamton","AE","conf.php?c=AE","AE",2025
"Boise St.","team.php?team=Boise+St.","Boise+St.","MWC","conf.php?c=MWC","MWC",2025
"Boston College","team.php?team=Boston+College","Boston+College","ACC","conf.php?c=ACC","ACC",2025
"Boston University","team.php?team=Boston+University","Boston+University","PL","conf.php?c=PL","PL",2025
"Bowling Green","team.php?team=Bowling+Green","Bowling+Green","MAC","conf.php?c=MAC","MAC",2025
"Bradley","team.php?team=Bradley","Bradley","MVC","conf.php?c=MVC","MVC",2025
"Brown","team.php?team=Brown","Brown","Ivy","conf.php?c=Ivy","Ivy",2025
"Bryant","team.php?team=Bryant","Bryant","AE","conf.php?c=AE","AE",2025
"Bucknell","team.php?team=Bucknell","Bucknell","PL","conf.php?c=PL","PL",2025
"Buffalo","team.php?team=Buffalo","Buffalo","MAC","conf.php?c=MAC","MAC",2025
"Butler","team.php?team=Butler","Butler","BE","conf.php?c=BE","BE",2025
"CSUN","team.php?team=CSUN","CSUN","BW","conf.php?c=BW","BW",2025
"Cal Baptist","team.php?team=Cal+Baptist","Cal+Baptist","WAC","conf.php?c=WAC","WAC",2025
"Cal Poly","team.php?team=Cal+Poly","Cal+Poly","BW","conf.php?c=BW","BW",2025
"Cal St. Bakersfield","team.php?team=Cal+St.+Bakersfield","Cal+St.+Bakersfield","BW","conf.php?c=BW","BW",2025
"Cal St. Fullerton","team.php?team=Cal+St.+Fullerton","Cal+St.+Fullerton","BW","conf.php?c=BW","BW",2025
"California","team.php?team=California","California","ACC","conf.php?c=ACC","ACC",2025
"Campbell","team.php?team=Campbell","Campbell","CAA","conf.php?c=CAA","CAA",2025
"Canisius","team.php?team=Canisius","Canisius","MAAC","conf.php?c=MAAC","MAAC",2025
"Central Arkansas","team.php?team=Central+Arkansas","Central+Arkansas","ASun","conf.php?c=ASun","ASun",2025
"Central Connecticut","team.php?team=Central+Connecticut","Central+Connecticut","NEC","conf.php?c=NEC","NEC",2025
"Central Michigan","team.php?team=Central+Michigan","Central+Michigan","MAC","conf.php?c=MAC","MAC",2025
"Charleston","team.php?team=Charleston","Charleston","CAA","conf.php?c=CAA","CAA",2025
"Charleston Southern","team.php?team=Charleston+Southern","Charleston+Southern","BSth","conf.php?c=BSth","BSth",2025
"Charlotte","team.php?team=Charlotte","Charlotte","Amer","conf.php?c=Amer","Amer",2025
"Chattanooga","team.php?team=Chattanooga","Chattanooga","SC","conf.php?c=SC","SC",2025
"Chicago St.","team.php?team=Chicago+St.","Chicago+St.","NEC","conf.php?c=NEC","NEC",2025
"Cincinnati","team.php?team=Cincinnati","Cincinnati","B12","conf.php?c=B12","B12",2025
"Clemson","team.php?team=Clemson","Clemson","ACC","conf.php?c=ACC","ACC",2025
"Cleveland St.","team.php?team=Cleveland+St.","Cleveland+St.","Horz","conf.php?c=Horz","Horz",2025
"Coastal Carolina","team.php?team=Coastal+Carolina","Coastal+Carolina","SB","conf.php?c=SB","SB",2025
"Colgate","team.php?team=Colgate","Colgate","PL","conf.php?c=PL","PL",2025
"Colorado","team.php?team=Colorado","Colorado","B12","conf.php?c=B12","B12",2025
"Colorado St.","team.php?team=Colorado+St.","Colorado+St.","MWC","conf.php?c=MWC","MWC",2025
"Columbia","team.php?team=Columbia","Columbia","Ivy","conf.php?c=Ivy","Ivy",2025
"Connecticut","team.php?team=Connecticut","Connecticut","BE","conf.php?c=BE","BE",2025
"Coppin St.","team.php?team=Coppin+St.","Coppin+St.","MEAC","conf.php?c=MEAC","MEAC",2025
"Cornell","team.php?team=Cornell","Cornell","Ivy","conf.php?c=Ivy","Ivy",2025
"Creighton","team.php?team=Creighton","Creighton","BE","conf.php?c=BE","BE",2025
"Dartmouth","team.php?team=Dartmouth","Dartmouth","Ivy","conf.php?c=Ivy","Ivy",2025
"Davidson","team.php?team=Davidson","Davidson","A10","conf.php?c=A10","A10",2025
"Dayton","team.php?team=Dayton","Dayton","A10","conf.php?c=A10","A10",2025
"DePaul","team.php?team=DePaul","DePaul","BE","conf.php?c=BE","BE",2025
"Delaware","team.php?team=Delaware","Delaware","CAA","conf.php?c=CAA","CAA",2025
"Delaware St.","team.php?team=Delaware+St.","Delaware+St.","MEAC","conf.php?c=MEAC","MEAC",2025
"Denver","team.php?team=Denver","Denver","Sum","conf.php?c=Sum","Sum",2025
"Detroit Mercy","team.php?team=Detroit+Mercy","Detroit+Mercy","Horz","conf.php?c=Horz","Horz",2025
"Drake","team.php?team=Drake","Drake","MVC","conf.php?c=MVC","MVC",2025
"Drexel","team.php?team=Drexel","Drexel","CAA","conf.php?c=CAA","CAA",2025
"Duke","team.php?team=Duke","Duke","ACC","conf.php?c=ACC","ACC",2025
"Duquesne","team.php?team=Duquesne","Duquesne","A10","conf.php?c=A10","A10",2025
"East Carolina","team.php?team=East+Carolina","East+Carolina","Amer","conf.php?c=Amer","Amer",2025
"East Tennessee St.","team.php?team=East+Tennessee+St.","East+Tennessee+St.","SC","conf.php?c=SC","SC",2025
"Eastern Illinois","team.php?team=Eastern+Illinois","Eastern+Illinois","OVC","conf.php?c=OVC","OVC",2025
"Eastern Kentucky","team.php?team=Eastern+Kentucky","Eastern+Kentucky","ASun","conf.php?c=ASun","ASun",2025
"Eastern Michigan","team.php?team=Eastern+Michigan","Eastern+Michigan","MAC","conf.php?c=MAC","MAC",2025
"Eastern Washington","team.php?team=Eastern+Washington","Eastern+Washington","BSky","conf.php?c=BSky","BSky",2025
"Elon","team.php?team=Elon","Elon","CAA","conf.php?c=CAA","CAA",2025
"Evansville","team.php?team=Evansville","Evansville","MVC","conf.php?c=MVC","MVC",2025
"FIU","team.php?team=FIU","FIU","CUSA","conf.php?c=CUSA","CUSA",2025
"Fairfield","team.php?team=Fairfield","Fairfield","MAAC","conf.php?c=MAAC","MAAC",2025
"Fairleigh Dickinson","team.php?team=Fairleigh+Dickinson","Fairleigh+Dickinson","NEC","conf.php?c=NEC","NEC",2025
"Florida","team.php?team=Florida","Florida","SEC","conf.php?c=SEC","SEC",2025
"Florida A&M","team.php?team=Florida+A%26M","Florida+A%26M","SWAC","conf.php?c=SWAC","SWAC",2025
"Florida Atlantic","team.php?team=Florida+Atlantic","Florida+Atlantic","Amer","conf.php?c=Amer","Amer",2025
"Florida Gulf Coast","team.php?team=Florida+Gulf+Coast","Florida+Gulf+Coast","ASun","conf.php?c=ASun","ASun",2025
"Florida St.","team.php?team=Florida+St.","Florida+St.","ACC","conf.php?c=ACC","ACC",2025
"Fordham","team.php?team=Fordham","Fordham","A10","conf.php?c=A10","A10",2025
"Fresno St.","team.php?team=Fresno+St.","Fresno+St.","MWC","conf.php?c=MWC","MWC",2025
"Furman","team.php?team=Furman","Furman","SC","conf.php?c=SC","SC",2025
"Gardner Webb","team.php?team=Gardner+Webb","Gardner+Webb","BSth","conf.php?c=BSth","BSth",2025
"George Mason","team.php?team=George+Mason","George+Mason","A10","conf.php?c=A10","A10",2025
"George Washington","team.php?team=George+Washington","George+Washington","A10","conf.php?c=A10","A10",2025
"Georgetown","team.php?team=Georgetown","Georgetown","BE","conf.php?c=BE","BE",2025
"Georgia","team.php?team=Georgia","Georgia","SEC","conf.php?c=SEC","SEC",2025
"Georgia Southern","team.php?team=Georgia+Southern","Georgia+Southern","SB","conf.php?c=SB","SB",2025
"Georgia St.","team.php?team=Georgia+St.","Georgia+St.","SB","conf.php?c=SB","SB",2025
"Georgia Tech","team.php?team=Georgia+Tech","Georgia+Tech","ACC","conf.php?c=ACC","ACC",2025
"Gonzaga","team.php?team=Gonzaga","Gonzaga","WCC","conf.php?c=WCC","WCC",2025
"Grambling St.","team.php?team=Grambling+St.","Grambling+St.","SWAC","conf.php?c=SWAC","SWAC",2025
"Grand Canyon","team.php?team=Grand+Canyon","Grand+Canyon","WAC","conf.php?c=WAC","WAC",2025
"Green Bay","team.php?team=Green+Bay","Green+Bay","Horz","conf.php?c=Horz","Horz",2025
"Hampton","team.php?team=Hampton","Hampton","CAA","conf.php?c=CAA","CAA",2025
"Harvard","team.php?team=Harvard","Harvard","Ivy","conf.php?c=Ivy","Ivy",2025
"Hawaii","team.php?team=Hawaii","Hawaii","BW","conf.php?c=BW","BW",2025
"High Point","team.php?team=High+Point","High+Point","BSth","conf.php?c=BSth","BSth",2025
"Hofstra","team.php?team=Hofstra","Hofstra","CAA","conf.php?c=CAA","CAA",2025
"Holy Cross","team.php?team=Holy+Cross","Holy+Cross","PL","conf.php?c=PL","PL",2025
"Houston","team.php?team=Houston","Houston","B12","conf.php?c=B12","B12",2025
"Houston Christian","team.php?team=Houston+Christian","Houston+Christian","Slnd","conf.php?c=Slnd","Slnd",2025
"Howard","team.php?team=Howard","Howard","MEAC","conf.php?c=MEAC","MEAC",2025
"IU Indy","team.php?team=IU+Indy","IU+Indy","Horz","conf.php?c=Horz","Horz",2025
"Idaho","team.php?team=Idaho","Idaho","BSky","conf.php?c=BSky","BSky",2025
"Idaho St.","team.php?team=Idaho+St.","Idaho+St.","BSky","conf.php?c=BSky","BSky",2025
"Illinois","team.php?team=Illinois","Illinois","B10","conf.php?c=B10","B10",2025
"Illinois Chicago","team.php?team=Illinois+Chicago","Illinois+Chicago","MVC","conf.php?c=MVC","MVC",2025
"Illinois St.","team.php?team=Illinois+St.","Illinois+St.","MVC","conf.php?c=MVC","MVC",2025
"Incarnate Word","team.php?team=Incarnate+Word","Incarnate+Word","Slnd","conf.php?c=Slnd","Slnd",2025
"Indiana","team.php?team=Indiana","Indiana","B10","conf.php?c=B10","B10",2025
"Indiana St.","team.php?team=Indiana+St.","Indiana+St.","MVC","conf.php?c=MVC","MVC",2025
"Iona","team.php?team=Iona","Iona","MAAC","conf.php?c=MAAC","MAAC",2025
"Iowa","team.php?team=Iowa","Iowa","B10","conf.php?c=B10","B10",2025
"Iowa St.","team.php?team=Iowa+St.","Iowa+St.","B12","conf.php?c=B12","B12",2025
"Jackson St.","team.php?team=Jackson+St.","Jackson+St.","SWAC","conf.php?c=SWAC","SWAC",2025
"Jacksonville","team.php?team=Jacksonville","Jacksonville","ASun","conf.php?c=ASun","ASun",2025
